ds,Total_Repayment
2007-08-01,10587.1810523119
2007-09-01,5200.4629833309
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,6340.4237371504
2008-04-01,4999.6955319208
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,3013.85
2008-09-01,
2008-10-01,
2008-11-01,20076.4883253852
2008-12-01,8435.806287647
2009-01-01,17796.2594922732
2009-02-01,
2009-03-01,
2009-04-01,1768.43
2009-05-01,35615.124718178
2009-06-01,2184.22788819153
2009-07-01,5750.3749541739
2009-08-01,2925.7033538987
2009-09-01,
2009-10-01,17440.9943825642
2009-11-01,63110.7033741999
2009-12-01,85571.3137632719
2010-01-01,5619.9200241842
2010-02-01,59259.419039667
2010-03-01,54020.7160363325
2010-04-01,53505.036584222
2010-05-01,64447.0742630399
2010-06-01,39307.2074765717
2010-07-01,103378.072855592
2010-08-01,159307.949163958
2010-09-01,104671.197262332
2010-10-01,148804.728599106
2010-11-01,129484.386656347
2010-12-01,136167.630477808
2011-01-01,54044.8784338993
2011-02-01,130436.325213275
2011-03-01,119038.93988677
2011-04-01,439192.613310596
2011-05-01,154108.692779321
2011-06-01,237104.351827116
2011-07-01,119133.356855958
2011-08-01,163013.914287402
2011-09-01,173777.143504013
2011-10-01,24819264.8794101
2011-11-01,26375131.9447293
2011-12-01,1723999.79809994
2012-01-01,36927075.1900193
2012-02-01,39201635.4146444
2012-03-01,27375978.975644
2012-04-01,41575833.050215
2012-05-01,925441.57534474
2012-06-01,
2012-07-01,17413.3480034829
2012-08-01,941558.923074459
2012-09-01,2433778.20831863
2012-10-01,6092894.41355834
2012-11-01,165320.499396168
2012-12-01,194529.011439725
2013-01-01,297761.452327637
2013-02-01,175736.366901364
2013-03-01,405262.955939334
2013-04-01,332718.286727908
2013-05-01,449600.530083189
2013-06-01,464114.058553689
2013-07-01,345085.610654932
2013-08-01,644212.32707985
2013-09-01,517922.659955962
2013-10-01,697065.050679327
2013-11-01,812857.182096749
2013-12-01,3958113.64416638
2014-01-01,1213472.80099277
2014-02-01,1226362.16870847
2014-03-01,876797.075515213
2014-04-01,1134194.71191351
2014-05-01,938646.982535686
2014-06-01,873654.901981469
2014-07-01,1745556.05960698
2014-08-01,1232649.50106306
2014-09-01,371858.571579873
2014-10-01,2246656.90022718
2014-11-01,1443448.56200971
2014-12-01,1603756.18782473
2015-01-01,2604875.74280541
2015-02-01,1663483.73717602
2015-03-01,1887800.64246046
2015-04-01,392321421.778419
2015-05-01,435378107.918276
2015-06-01,382642201.113816
2015-07-01,619550456.072089
2015-08-01,488150353.290387
2015-09-01,390903875.09369
2015-10-01,645194612.145827
2015-11-01,486467376.632762
2015-12-01,567682482.299676
2016-01-01,373887.461288622
2016-02-01,1224960.86882258
2016-03-01,2050066.11667652
2016-04-01,792928.106892592
2016-05-01,657012.305010325
2016-06-01,739768.113864835
2016-07-01,572856.837364974
2016-08-01,412659.01827358
2016-09-01,365487.729197836
2016-10-01,517199.945570485
2016-11-01,613377.956711708
2016-12-01,484094.214181532
2017-01-01,
2017-02-01,181122.249627227
2017-03-01,532154.383193526
2017-04-01,587017.445022178
2017-05-01,388499.148856196
2017-06-01,356635.012778543
2017-07-01,500189.345049938
2017-08-01,477427.232985048
2017-09-01,537660.495388247
2017-10-01,659463.990387915
2017-11-01,687398.96251271
2017-12-01,558499.333880461
2018-01-01,398367.292577657
2018-02-01,556762.813272403
2018-03-01,489099.777125102
2018-04-01,
2018-05-01,
2018-06-01,45650.767370925
2018-07-01,281709.535107266
2018-08-01,204425.024855227
2018-09-01,260139.946673119
2018-10-01,0
2018-11-01,14168.0364137203
2018-12-01,4011.1863888932
