Month,Forecast,Lower Bound,Upper Bound
2019-01-01,4821602.646635703,-197368279.60774186,207011484.90101328
2019-02-01,4830040.940303631,-250975801.08727795,260635882.9678852
2019-03-01,4927444.375287651,-302773567.5420311,312628456.2926064
2019-04-01,1115770.9589725593,-348742514.6813885,350974056.59933364
2019-05-01,1113829.8218243828,-386960451.40855306,389188111.0522018
2019-06-01,1536712.0255075612,-421136094.82138747,424209518.8724026
2019-07-01,-625760.5576159698,-455317657.3766914,454066136.2614594
2019-08-01,608818.9853542714,-483975099.5065138,485192737.47722226
2019-09-01,1498656.1996633196,-511250715.486147,514248027.88547367
2019-10-01,-1143623.8374480135,-540581068.9212939,538293821.2463979
2019-11-01,386522.7551880644,-564477961.4749906,565251006.9853668
2019-12-01,-162005.04827149597,-589358936.5198225,589034926.4232794
